i,H,r,Lz,γu,γd,M,energy,error_r,error_a
9,5.0,5.0,55.0,1.0,1.0,11,0.21092686619013865,0.5529383477604185,0.07510250040360991
10,5.0,5.0,55.0,1.0,1.0,11,0.0800344768732003,18.294374335188003,0.0846622520862277
1,5.0,5.0,55.0,1.0,1.0,13,0.04265908335755502,28.58232524742266,0.04121703703426028
2,5.0,5.0,55.0,1.0,1.0,13,0.036256254424694934,5.497802571615135,0.030676482798041332
3,5.0,5.0,55.0,1.0,1.0,13,194.04854140943428,0.0004737129533756457,0.09187978300593613
4,5.0,5.0,55.0,1.0,1.0,13,0.05283727583317672,7.942026963018786,0.060448493149768655
5,5.0,5.0,55.0,1.0,1.0,13,0.4232781093913745,0.21895938794068037,0.07603265266909282
6,5.0,5.0,55.0,1.0,1.0,13,0.02081591817947301,2.042150322193059,0.04078992551429668
7,5.0,5.0,55.0,1.0,1.0,13,0.035516261239273726,0.21423757613541186,0.009683483824374554
8,5.0,5.0,55.0,1.0,1.0,13,-0.0031422736673434428,0.6536096325593254,0.005929207420772009
9,5.0,5.0,55.0,1.0,1.0,13,0.21790284588915437,0.6042986442625916,0.08207848010262564
10,5.0,5.0,55.0,1.0,1.0,13,0.08438623158512458,19.234730016180006,0.08901400679815198
1,5.0,5.0,55.0,1.0,1.0,15,0.04267699245381263,28.594744471388147,0.04123494613051789
2,5.0,5.0,55.0,1.0,1.0,15,0.036264197234021134,5.499226072406504,0.030684425607367533
3,5.0,5.0,55.0,1.0,1.0,15,194.04854839812023,0.0004737489855794117,0.09188677169188963
4,5.0,5.0,55.0,1.0,1.0,15,0.0528499613578124,7.943693651027815,0.060461178674404335
5,5.0,5.0,55.0,1.0,1.0,15,0.42329400614825236,0.21900516753713042,0.07604854942597067
6,5.0,5.0,55.0,1.0,1.0,15,0.020814706355432987,2.0420896521422423,0.04078871369025666
7,5.0,5.0,55.0,1.0,1.0,15,0.03551810343478246,0.21419681936773224,0.009681641628865818
8,5.0,5.0,55.0,1.0,1.0,15,-0.003140603372357571,0.6537937584996925,0.005930877715757881
9,5.0,5.0,55.0,1.0,1.0,15,0.21791474812081302,0.6043862738391386,0.08209038233428428
10,5.0,5.0,55.0,1.0,1.0,15,0.08439186558430604,19.23594744765023,0.08901964079733345
1,5.0,1.0,15.0,1.0,1.0,7,0.2655140920077348,183.12313648919184,0.26407204568444004
