i,H,M,γu,γd,energy,error_r,error_a
1,0.5,29,0.95,0.95,49.906622618995584,1.7743941474268673e-6,8.85541762229991e-5
1,0.5,1,1.0,1.0,45.73116402185002,0.14660179723343603,7.855970183023842
1,0.5,3,1.0,1.0,50.84784073888207,0.05111849153042874,2.7392934659917927
1,0.5,5,1.0,1.0,52.39058355113612,0.022329065950104796,1.196550653737745
1,0.5,7,1.0,1.0,53.01495776858056,0.010677496469689244,0.5721764362933044
1,0.5,9,1.0,1.0,53.30109130746141,0.005337902495753058,0.28604289741245026
1,0.5,11,1.0,1.0,53.4406516617699,0.0027335394078722977,0.14648254310396425
1,0.5,13,1.0,1.0,53.5110713052951,0.0014194246568208432,0.07606289957876555
1,0.5,15,1.0,1.0,53.54730271537063,0.000743303221832171,0.03983148950323567
1,0.5,17,1.0,1.0,53.566163242938885,0.0003913432253122933,0.02097096193497805
1,0.5,19,1.0,1.0,53.576053478399174,0.00020677960557331592,0.011080726474688163
1,0.5,21,1.0,1.0,53.58126476303703,0.00010953080294229083,0.005869441836836131
1,0.5,23,1.0,1.0,53.584019652468115,5.81212720546007e-5,0.0031145524057478724
1,0.5,25,1.0,1.0,53.585479358623004,3.0881409790105696e-5,0.0016548462508580997
1,0.5,27,1.0,1.0,53.58625409170136,1.6423964176448078e-5,0.0008801131724993638
1,0.5,29,1.0,1.0,53.58666578567924,8.741262274532407e-6,0.0004684191946253691
1,0.1,1,0.6,0.6,148.8038025618563,0.10028268458536369,16.58570368909298
1,0.1,3,0.6,0.6,162.47420382453933,0.017626888745810042,2.915302426409937
1,0.1,5,0.6,0.6,164.7397965506221,0.003928361085626313,0.649709700327179
1,0.1,7,0.6,0.6,165.22939293303253,0.0009680984093017094,0.1601133179167391
1,0.1,9,0.6,0.6,165.34773783335024,0.0002525457542369955,0.04176841759903027
1,0.1,11,0.6,0.6,165.37819609929278,6.838494117835407e-5,0.011310151656488188
1,0.1,13,0.6,0.6,165.38636058443436,1.9019746695039894e-5,0.003145666514910772
1,0.1,15,0.6,0.6,165.38861335845027,5.398725222875556e-6,0.0008928924989959341
1,0.1,17,0.6,0.6,165.38924869234336,1.557285052406413e-6,0.0002575586059094803
1,0.1,19,0.6,0.6,165.3894309804887,4.551102562456391e-7,7.527046057020925e-5
1,0.1,21,0.6,0.6,165.38948401488167,1.344466653144267e-7,2.2236067593439657e-5
1,0.1,23,0.6,0.6,165.38949962249944,4.007781373092379e-8,6.628449824575e-6
1,0.1,25,0.6,0.6,165.38950425990305,1.20385281007033e-8,1.991046218563497e-6
1,0.1,27,0.6,0.6,165.38950564901276,3.639508452607098e-9,6.019365059728443e-7
1,0.1,29,0.6,0.6,165.38950606790434,1.1067505807943505e-9,1.8304493210052897e-7
1,0.1,1,0.95,0.95,236.73168922776804,0.26159345701083864,83.86634917726664
1,0.1,3,0.95,0.95,276.63389133244294,0.1371316783200297,43.96414707259174
1,0.1,5,0.95,0.95,293.48519431500813,0.08456958821367752,27.112844090026556
1,0.1,7,0.95,0.95,302.67632852057926,0.05590087192552823,17.921709884455424
1,0.1,9,0.95,0.95,308.2666547289082,0.038463690350305196,12.331383676126507
1,0.1,11,0.95,0.95,311.8821473340618,0.02718635183900114,8.715891070972873
1,0.1,13,0.95,0.95,314.31581275804274,0.019595334014661552,6.282225646991947
1,0.1,15,0.95,0.95,316.00135149624225,0.014337851010133469,4.596686908792435
1,0.1,17,0.95,0.95,317.19422521669287,0.010617074281788123,3.4038131883418146
1,0.1,19,0.95,0.95,318.05292219491776,0.007938651848210939,2.5451162101169302
1,0.1,21,0.95,0.95,318.67963288430553,0.005983834243881093,1.9184055207291522
1,0.1,23,0.95,0.95,319.14225587698775,0.004540834171317491,1.4557825280469388
1,0.1,25,0.95,0.95,319.4870107779508,0.00346548479401567,1.1110276270838995
1,0.1,27,0.95,0.95,319.74599620793333,0.0026576650354451273,0.8520421971013548
1,0.1,29,0.95,0.95,319.9418826208036,0.0020466618807009665,0.656155784231089
1,0.1,1,1.0,1.0,249.29281589432705,0.3220406584059375,118.41775404659805
1,0.1,3,1.0,1.0,294.39715785532354,0.19937803826901085,73.31341208560156
1,0.1,5,1.0,1.0,315.5443591987113,0.14186758555946496,52.16621074221382
1,0.1,7,1.0,1.0,328.334830748465,0.10708351190118376,39.37573919246012
1,0.1,9,1.0,1.0,336.9585762256381,0.08363097563452544,30.75199371528697
1,0.1,11,1.0,1.0,343.14015073169213,0.06681999707862722,24.570419209232966
1,0.1,13,1.0,1.0,347.7515169938437,0.054279247263106734,19.959052947081375
1,0.1,15,1.0,1.0,351.29086672072003,0.04465387879071028,16.419703220205065
1,0.1,17,1.0,1.0,354.06662394002757,0.03710512320352801,13.643946000897529
1,0.1,19,1.0,1.0,356.28083805168325,0.031083501056491537,11.42973188924185
1,0.1,21,1.0,1.0,358.07157738152995,0.026213531367737703,9.638992559395149
1,0.1,23,1.0,1.0,359.53635817196016,0.02223001577104018,8.174211768964938
1,0.1,25,1.0,1.0,360.7459301858176,0.01894054814966676,6.964639755107498
1,0.1,27,1.0,1.0,361.7527900161653,0.01620236243335878,5.957779924759791
1,0.1,29,1.0,1.0,362.5966445176938,0.01390747463161826,5.113925423231308
2,10.0,1,0.6,0.6,0.45891893662840877,9.231235044103412e-5,4.2359975353178925e-5
2,10.0,3,0.6,0.6,0.4588765767071181,1.178149746126662e-10,5.406253222872692e-11
2,10.0,5,0.6,0.6,0.4588765766534295,8.14866423169963e-13,3.739231146937527e-13
2,10.0,7,0.6,0.6,0.45887657665356674,1.113908851625448e-12,5.111466805374221e-13
2,10.0,9,0.6,0.6,0.4588765766534313,8.18737522567445e-13,3.7569947153315297e-13
2,10.0,11,0.6,0.6,0.4588765766535632,1.106166652830484e-12,5.075939668586216e-13
2,10.0,13,0.6,0.6,0.45887657665355475,1.0877789306924445e-12,4.991562718714704e-13
2,10.0,15,0.6,0.6,0.4588765766535676,1.115844401324189e-12,5.120348589571222e-13
2,10.0,17,0.6,0.6,0.4588765766535565,1.0916500300899266e-12,5.009326287108706e-13
2,10.0,19,0.6,0.6,0.4588765766535614,1.102295553433002e-12,5.058176100192213e-13
2,10.0,21,0.6,0.6,0.4588765766535574,1.0935855797886676e-12,5.018208071305708e-13
2,10.0,23,0.6,0.6,0.4588765766532763,4.809841001371396e-13,2.2071233729548112e-13
2,10.0,25,0.6,0.6,0.45887657665299786,1.258107304181653e-13,5.773159728050814e-14
2,10.0,27,0.6,0.6,0.4588765766535614,1.102295553433002e-12,5.058176100192213e-13
2,10.0,29,0.6,0.6,0.4588765766535259,1.0248735654833619e-12,4.702904732312163e-13
2,10.0,1,0.95,0.95,0.7976439341639519,0.00013275232042401385,0.00010587502797676507
2,10.0,3,0.95,0.95,0.7975380594785864,4.2958611035668644e-10,3.426112726856445e-10
2,10.0,5,0.95,0.95,0.7975380591420116,7.568923589717636e-12,6.036504629491901e-12
2,10.0,7,0.95,0.95,0.7975380591423096,7.94255323208507e-12,6.334488489301293e-12
2,10.0,9,0.95,0.95,0.7975380591423273,7.964826236101013e-12,6.352252057695296e-12
2,10.0,11,0.95,0.95,0.7975380591423735,8.022736046542464e-12,6.398437335519702e-12
2,10.0,13,0.95,0.95,0.7975380591418486,7.364568777871365e-12,5.873523889476928e-12
2,10.0,15,0.95,0.95,0.7975380591414045,6.807743677472804e-12,5.4294346796268655e-12
2,10.0,17,0.95,0.95,0.7975380591423917,8.045565875658805e-12,6.416644993123555e-12
2,10.0,19,0.95,0.95,0.797538059142203,7.808915207989417e-12,6.227907078937278e-12
2,10.0,21,0.95,0.95,0.797538059140571,5.7625829640247055e-12,4.595879232738298e-12
2,10.0,23,0.95,0.95,0.7975380591398595,4.870549153186211e-12,3.884448318558498e-12
2,10.0,25,0.95,0.95,0.7975380591424233,8.085100457787103e-12,6.448175327022909e-12
2,10.0,27,0.95,0.95,0.7975380591432439,9.114113243323642e-12,7.268852186825825e-12
2,10.0,29,0.95,0.95,0.7975380591425236,8.210942930477177e-12,6.548539488449023e-12
2,10.0,1,1.0,1.0,0.8460332195261682,0.00013862198837496668,0.00011726255195387836
2,10.0,3,1.0,1.0,0.845915957395027,4.974639791761357e-10,4.2081271800498143e-10
2,10.0,5,1.0,1.0,0.8459159569821875,9.425496242165186e-12,7.973177673648024e-12
2,10.0,7,1.0,1.0,0.845915956982259,9.510018069890964e-12,8.044676036433884e-12
2,10.0,9,1.0,1.0,0.8459159569820542,9.268002153235167e-12,7.839950910693005e-12
2,10.0,11,1.0,1.0,0.845915956982457,9.744159282100258e-12,8.242739824027012e-12
2,10.0,13,1.0,1.0,0.8459159569823682,9.639163222813578e-12,8.153921982057e-12
2,10.0,15,1.0,1.0,0.8459159569826205,9.937352031187748e-12,8.406164653251835e-12
2,10.0,17,1.0,1.0,0.8459159569824468,9.73208473528229e-12,8.23252577220046e-12
2,10.0,19,1.0,1.0,0.8459159569825041,9.799807193522198e-12,8.289813280271119e-12
2,10.0,21,1.0,1.0,0.8459159569821972,9.43704580868672e-12,7.982947636264726e-12
2,10.0,23,1.0,1.0,0.8459159569803525,7.256277657302395e-12,6.1382010585475655e-12
2,10.0,25,1.0,1.0,0.8459159569800025,6.842593183712879e-12,5.788258761185716e-12
2,10.0,27,1.0,1.0,0.8459159569828123,1.0164143519246974e-11,8.598011191907062e-12
2,10.0,29,1.0,1.0,0.8459159569835992,1.109440860452695e-11,9.384937271761373e-12
2,5.0,1,0.6,0.6,1.0302852003961842,0.0004514902355316631,0.0004653738195270485
2,5.0,3,0.6,0.6,1.0307502213094217,3.4237797033796595e-7,3.529062895246682e-7
2,5.0,5,0.6,0.6,1.0307505739737737,2.347198120790308e-10,2.4193758108026486e-10
2,5.0,7,0.6,0.6,1.030750574212099,3.5044575509151824e-12,3.6122216329204093e-12
2,5.0,9,0.6,0.6,1.0307505742119738,3.625954603946665e-12,3.737454790098127e-12
2,5.0,11,0.6,0.6,1.030750574212251,3.3571100610684905e-12,3.460343123151688e-12
2,5.0,13,0.6,0.6,1.030750574212258,3.3502166112511014e-12,3.453237695794087e-12
2,5.0,15,0.6,0.6,1.0307505742122602,3.3480624081831673e-12,3.4510172497448366e-12
2,5.0,17,0.6,0.6,1.0307505742122545,3.3536633361597957e-12,3.4567904094728874e-12
2,5.0,19,0.6,0.6,1.0307505742122527,3.355386698614143e-12,3.4585667663122877e-12
2,5.0,21,0.6,0.6,1.030750574212254,3.3540941767733826e-12,3.4572344986827375e-12
2,5.0,23,0.6,0.6,1.0307505742116834,3.9077243652324445e-12,4.027889133340068e-12
2,5.0,25,0.6,0.6,1.0307505742111083,4.465662959827375e-12,4.602984660095899e-12
2,5.0,27,0.6,0.6,1.0307505742111074,4.466524641054548e-12,4.603872838515599e-12
2,5.0,29,0.6,0.6,1.0307505742110878,4.485481628052368e-12,4.623412763749002e-12
2,5.0,1,0.95,0.95,1.8390100880235734,0.0008467819869926108,0.0015585603772891865
2,5.0,3,0.95,0.95,1.8405657763737011,1.560402087649471e-6,2.872027161426871e-6
2,5.0,5,0.95,0.95,1.8405686435294166,2.646706993274126e-9,4.871445913323669e-9
2,5.0,7,0.95,0.95,1.8405686483803216,1.1160084863040183e-11,2.0540902312404796e-11
2,5.0,9,0.95,0.95,1.8405686483880874,6.940851845355579e-12,1.2775114299756751e-11
2,5.0,11,0.95,0.95,1.8405686483885315,6.6995735804911314e-12,1.2331025089906689e-11
2,5.0,13,0.95,0.95,1.840568648388368,6.788363981961248e-12,1.2494449919131512e-11
2,5.0,15,0.95,0.95,1.840568648388134,6.9155176275448125e-12,1.2728484932722495e-11
2,5.0,17,0.95,0.95,1.84056864838858,6.673274249620906e-12,1.2282619366033032e-11
2,5.0,19,0.95,0.95,1.8405686483884671,6.734558928896476e-12,1.2395418025334948e-11
2,5.0,21,0.95,0.95,1.8405686483875972,7.20722304976593e-12,1.326538878743122e-11
2,5.0,23,0.95,0.95,1.8405686483864305,7.841061051564836e-12,1.4432011141707335e-11
2,5.0,25,0.95,0.95,1.8405686483871468,7.451879210338481e-12,1.3715695246219184e-11
2,5.0,27,0.95,0.95,1.8405686483873263,7.354402791333244e-12,1.3536283205439759e-11
2,5.0,29,0.95,0.95,1.8405686483869896,7.537291716100495e-12,1.3872902826506106e-11
2,5.0,1,1.0,1.0,1.9545422148274842,0.00091452504634767,0.0017891139991665916
2,5.0,3,1.0,1.0,1.9563276877528626,1.8611744005734273e-6,3.6410737882519584e-6
