H,γu,γd,i,energy_exact
0.1,0.95,0.95,9,332.59850484097626
0.1,0.95,-0.95,9,-36.31309582321251
0.1,-0.95,-0.95,9,-210.00712704511704
0.1,1.0,1.0,9,390.44741872217355
0.1,1.0,-1.0,9,-38.79101511711525
0.1,-1.0,-1.0,9,-220.64406392344347
10.0,0.0,0.0,9,-0.3685387366047479
5.0,0.0,0.0,9,-0.9439980330787048
1.0,0.0,0.0,9,-0.08090553775195453
0.5,0.0,0.0,9,0.30711700361944505
0.1,0.0,0.0,9,0.3440273246914298
10.0,0.3,0.3,10,0.010642818793282771
10.0,0.5,0.5,10,0.4045635354468238
10.0,0.6,0.6,10,0.6015097826241296
10.0,0.6,-0.6,10,-1.6087422911559677
10.0,-0.6,-0.6,10,-1.762467704692562
10.0,0.95,0.95,10,1.290747704450796
10.0,0.95,-0.95,10,-2.2085044235662386
10.0,-0.95,-0.95,10,-2.4522180665774616
10.0,1.0,1.0,10,1.389200888808451
10.0,1.0,-1.0,10,-2.294175253910717
10.0,-1.0,-1.0,10,-2.550763348631844
5.0,0.3,0.3,10,0.23393993207135422
5.0,0.5,0.5,10,1.0800501981902162
5.0,0.6,0.6,10,1.5027054811111773
5.0,0.6,-0.6,10,-3.1003981124489735
5.0,-0.6,-0.6,10,-3.5881412645259423
5.0,0.95,0.95,10,2.9800158695406216
5.0,0.95,-0.95,10,-4.2988892681057145
5.0,-0.95,-0.95,10,-5.081720521595814
5.0,1.0,1.0,10,3.190819591526159
5.0,1.0,-1.0,10,-4.469804633970169
5.0,-1.0,-1.0,10,-5.2954515030626474
1.0,0.3,0.3,10,5.260635639822657
1.0,0.5,0.5,10,10.210370613053234
1.0,0.6,0.6,10,12.743674460818408
1.0,0.6,-0.6,10,-13.09596857905956
1.0,-0.6,-0.6,10,-15.965965567856793
1.0,0.95,0.95,10,22.091299851131648
1.0,0.95,-0.95,10,-19.81445062050114
1.0,-0.95,-0.95,10,-24.051696679283175
1.0,1.0,1.0,10,23.516824757002873
1.0,1.0,-1.0,10,-20.78236370508866
1.0,-1.0,-1.0,10,-25.211340525118484
0.5,0.3,0.3,10,13.191767367516853
0.5,0.5,0.5,10,23.93413272697581
0.5,0.6,0.6,10,29.55759065783045
0.5,0.6,-0.6,10,-24.908595151283638
0.5,-0.6,-0.6,10,-31.065859145664422
0.5,0.95,0.95,10,51.85806216703231
0.5,0.95,-0.95,10,-38.86786594608591
0.5,-0.95,-0.95,10,-47.528780066543305
0.5,1.0,1.0,10,55.69576513210608
0.5,1.0,-1.0,10,-40.878280206062385
0.5,-1.0,-1.0,10,-49.883360392472355
0.1,0.3,0.3,10,79.54203809597645
0.1,0.5,0.5,10,139.1627238740688
0.1,0.6,0.6,10,171.68843616238647
0.1,0.6,-0.6,10,-119.9748747592305
0.1,-0.6,-0.6,10,-152.45592388093337
