H,s,Lz,γu,γd,M,energy,error_r
1.0,3.0,32.0,1.0,1.0,38,64.08712049302997,0.3992496539150562
1.0,3.0,32.0,1.0,1.0,39,64.16911159496334,0.40103981112795295
1.0,3.0,32.0,1.0,1.0,40,64.21123117692969,0.4019594313267707
1.0,3.0,32.0,1.0,1.0,41,64.23397516742125,0.40245601348835225
1.0,3.0,32.0,1.0,1.0,42,64.24575116200604,0.4027131253108295
1.0,3.0,32.0,1.0,1.0,43,64.25214236370542,0.4028526679630371
1.0,3.0,32.0,1.0,1.0,44,64.25547298529364,0.40292538727182775
1.0,3.0,32.0,1.0,1.0,45,64.25731054456669,0.4029655077228184
1.0,3.0,32.0,1.0,1.0,46,64.25832741643778,0.40298770965048736
1.0,3.0,32.0,1.0,1.0,47,64.25898025417995,0.40300196341907235
1.0,3.0,32.0,1.0,1.0,48,64.25950610949351,0.4030134447098506
1.0,3.0,32.0,1.0,1.0,49,64.2601589472361,0.40302769847844494
1.0,3.0,32.0,1.0,1.0,50,64.26117581910877,0.4030499004061483
1.0,4.0,62.0,1.0,1.0,0,-0.8410825095272308,1.0183638210192012
1.0,4.0,62.0,1.0,1.0,1,41.04457414521311,0.10385104329930858
1.0,4.0,62.0,1.0,1.0,2,43.404271697953554,0.0523304575932404
1.0,4.0,62.0,1.0,1.0,3,44.60513985792575,0.02611123687756706
1.0,4.0,62.0,1.0,1.0,4,45.17385274446711,0.013694212933472377
1.0,4.0,62.0,1.0,1.0,5,45.476313816364105,0.007090412561123422
1.0,4.0,62.0,1.0,1.0,6,45.62895025860592,0.0037578164429234776
1.0,4.0,62.0,1.0,1.0,7,45.71093872675837,0.0019677167348265572
1.0,4.0,62.0,1.0,1.0,8,45.7530453368936,0.0010483797571937126
1.0,4.0,62.0,1.0,1.0,9,45.77578512135616,0.0005518894281766905
1.0,4.0,62.0,1.0,1.0,10,45.78755334636735,0.0002949472431100257
1.0,4.0,62.0,1.0,1.0,11,45.79393007847115,0.00015572051360958515
1.0,4.0,62.0,1.0,1.0,12,45.79724358376126,8.337491445078619e-5
1.0,4.0,62.0,1.0,1.0,13,45.79904270610852,4.409367818374242e-5
1.0,4.0,62.0,1.0,1.0,14,45.79997974625633,2.3634760815759586e-5
1.0,4.0,62.0,1.0,1.0,15,45.800489153410346,1.2512591829531596e-5
1.0,4.0,62.0,1.0,1.0,16,45.80075483269645,6.711868591065376e-6
